entidad	nom_ent	mun	nom_mun	pobtot	pobfem	pob0_14	pob15_64	pob65_mas
07	Chiapas	048	Juárez	21807	11035	6271	13582	1954
07	Chiapas	049	Larráinzar	31259	16055	14143	16071	1040
07	Chiapas	050	La Libertad	5232	2625	1331	3287	614
07	Chiapas	051	Mapastepec	46130	23349	13893	28370	3863
07	Chiapas	052	Las Margaritas	141027	72136	47722	83534	7216
07	Chiapas	053	Mazapa de Madero	7901	4006	2729	4414	758
07	Chiapas	054	Mazatán	28250	14233	8155	17628	2467
07	Chiapas	055	Metapa	5876	3120	1672	3627	505
07	Chiapas	056	Mitontic	13755	7022	6302	7079	374
07	Chiapas	057	Motozintla	76398	38973	26304	44886	5202
07	Chiapas	058	Nicolás Ruíz	4765	2325	1634	2897	234
07	Chiapas	059	Ocosingo	234661	118892	89669	133941	8862
07	Chiapas	060	Ocotepec	14088	7209	6006	7313	769
07	Chiapas	061	Ocozocoautla de Espinosa	97397	49327	31247	60270	5866
07	Chiapas	062	Ostuacán	18469	9281	6274	10936	1259
07	Chiapas	063	Osumacinta	3983	2004	1241	2474	263
07	Chiapas	064	Oxchuc	54932	27418	23466	29144	2322
07	Chiapas	065	Palenque	132265	67189	43195	81583	7156
07	Chiapas	066	Pantelhó	26391	13441	11096	14364	918
07	Chiapas	067	Pantepec	12266	6212	4319	7212	735
07	Chiapas	068	Pichucalco	31919	16267	8986	20382	2536
07	Chiapas	069	Pijijiapan	51193	26082	14518	31756	4915
07	Chiapas	070	El Porvenir	12263	6159	4408	6923	891
07	Chiapas	071	Villa Comaltitlán	30297	14719	9048	18712	2535
07	Chiapas	072	Pueblo Nuevo Solistahuacán	29636	15204	11406	16911	1287
07	Chiapas	073	Rayón	10866	5518	3815	6458	593
07	Chiapas	074	Reforma	44829	22921	13995	28058	2771
07	Chiapas	075	Las Rosas	28829	14695	8976	17957	1896
07	Chiapas	076	Sabanilla	29889	14968	10611	17680	1598
07	Chiapas	077	Salto de Agua	64251	32405	21730	38691	3830
07	Chiapas	078	San Cristóbal de las Casas	215874	113582	61981	143178	10562
07	Chiapas	079	San Fernando	41793	20921	12560	26636	2589
07	Chiapas	080	Siltepec	25937	12911	9457	14798	1682
07	Chiapas	081	Simojovel	52935	27047	21661	29201	2029
07	Chiapas	082	Sitalá	15518	7894	6474	8510	534
07	Chiapas	083	Socoltenango	19092	9679	5702	12009	1381
07	Chiapas	084	Solosuchiapa	8561	4217	2917	5040	604
07	Chiapas	085	Soyaló	10890	5425	3595	6615	680
07	Chiapas	086	Suchiapa	25627	12871	7620	16322	1682
07	Chiapas	087	Suchiate	41672	21191	13396	25821	2453
07	Chiapas	088	Sunuapa	2308	1133	754	1382	172
07	Chiapas	089	Tapachula	353706	182096	97458	227836	25575
07	Chiapas	090	Tapalapa	4547	2338	1600	2551	396
07	Chiapas	091	Tapilula	13592	7030	4302	8388	902
07	Chiapas	092	Tecpatán	21426	10762	6668	13005	1752
07	Chiapas	093	Tenejapa	48162	24854	19937	26210	2015
07	Chiapas	094	Teopisca	49499	25555	17908	29220	2371
07	Chiapas	096	Tila	83505	41804	25527	41867	4339
07	Chiapas	097	Tonalá	91913	46632	25307	58493	8104
07	Chiapas	098	Totolapa	7211	3571	2374	4420	417
07	Chiapas	099	La Trinitaria	83111	42999	25510	51183	6414
07	Chiapas	100	Tumbalá	38025	19518	13701	22024	2300
07	Chiapas	101	Tuxtla Gutiérrez	604147	316623	145953	413489	42523
07	Chiapas	102	Tuxtla Chico	41024	21247	11741	25926	3353
07	Chiapas	103	Tuzantán	30302	15402	9477	18441	2384
07	Chiapas	104	Tzimol	16560	8442	4597	10581	1382
07	Chiapas	105	Unión Juárez	16008	8161	4661	9744	1599
07	Chiapas	106	Venustiano Carranza	67292	33793	19917	42499	4810
07	Chiapas	107	Villa Corzo	65643	33298	20129	40601	4899
07	Chiapas	108	Villaflores	109536	55728	31123	69626	8763
07	Chiapas	109	Yajalón	40285	20695	13861	24130	2282
07	Chiapas	110	San Lucas	7526	3734	2682	4408	436
07	Chiapas	111	Zinacantán	45373	24258	16480	26803	2089
07	Chiapas	112	San Juan Cancuc	37948	19431	17018	19720	1206
07	Chiapas	113	Aldama	8480	4440	3758	4472	250
07	Chiapas	114	Benemérito de las Américas	23603	11789	8857	13698	1015
07	Chiapas	115	Maravilla Tenejapa	14714	7382	5884	8213	617
07	Chiapas	116	Marqués de Comillas	12892	6394	4903	7428	561
07	Chiapas	117	Montecristo de Guerrero	8412	4197	3069	4902	441
07	Chiapas	118	San Andrés Duraznal	6047	3119	2535	3261	251
07	Chiapas	119	Santiago el Pinar	4959	2508	2174	2645	140
07	Chiapas	120	Capitán Luis Ángel Vidal	4315	2041	1514	2584	217
07	Chiapas	121	Rincón Chamula San Pedro	8718	4691	3618	4724	376
07	Chiapas	122	El Parral	15587	7996	4437	9734	1412
07	Chiapas	123	Emiliano Zapata	10783	5412	2983	6898	902
07	Chiapas	124	Mezcalapa	23847	12148	8173	14106	1552
07	Chiapas	125	Honduras de la Sierra	11650	5753	4192	6813	645
08	Chihuahua	001	Ahumada	14635	7258	4689	9015	927
08	Chihuahua	002	Aldama	26047	13205	6863	17057	2125
08	Chihuahua	003	Allende	8487	4231	1944	5322	1221
08	Chihuahua	004	Aquiles Serdán	24344	10850	6373	17219	667
08	Chihuahua	005	Ascensión	26093	12862	7929	16304	1774
08	Chihuahua	006	Bachíniva	5807	2865	1377	3547	882
08	Chihuahua	007	Balleza	16440	8298	5552	9559	1329
08	Chihuahua	008	Batopilas de Manuel Gómez Morín	11270	5673	4353	6168	748
08	Chihuahua	009	Bocoyna	23351	12373	6859	14599	1890
08	Chihuahua	010	Buenaventura	25146	12637	7328	15734	2071
08	Chihuahua	011	Camargo	49499	25052	12240	32560	4672
08	Chihuahua	012	Carichí	8113	4117	2668	4559	886
08	Chihuahua	013	Casas Grandes	11815	5790	3258	7342	1205
08	Chihuahua	014	Coronado	2034	975	483	1207	334
08	Chihuahua	015	Coyame del Sotol	1230	597	267	746	192
08	Chihuahua	016	La Cruz	3704	1823	902	2346	456
08	Chihuahua	017	Cuauhtémoc	180638	92221	47319	119369	13615
08	Chihuahua	018	Cusihuiriachi	5099	2439	1214	3203	682
08	Chihuahua	019	Chihuahua	937674	480434	209881	648462	77343
08	Chihuahua	020	Chínipas	6222	3066	1869	3753	586
08	Chihuahua	021	Delicias	150506	76679	37504	100033	12923
08	Chihuahua	022	Dr. Belisario Domínguez	2456	1212	414	1381	661
08	Chihuahua	023	Galeana	6656	3357	2340	3908	401
08	Chihuahua	024	Santa Isabel	3791	1927	774	2412	605
08	Chihuahua	025	Gómez Farías	7023	3558	1680	4252	1091
08	Chihuahua	026	Gran Morelos	2448	1197	443	1436	569
08	Chihuahua	027	Guachochi	50180	25882	16768	30256	3152
08	Chihuahua	028	Guadalupe	4237	2104	1086	2737	414
08	Chihuahua	029	Guadalupe y Calvo	50514	25336	18731	28974	2809
08	Chihuahua	030	Guazapares	8196	4091	2919	4600	677
08	Chihuahua	031	Guerrero	35473	17771	9184	22183	4097
08	Chihuahua	032	Hidalgo del Parral	116662	60415	29150	76738	10669
