entidad	nom_ent	mun	nom_mun	pobtot	pobfem	pob0_14	pob15_64	pob65_mas
12	Guerrero	050	Pungarabato	38482	19693	10790	24428	3262
12	Guerrero	051	Quechultenango	36143	18795	12129	20722	3292
12	Guerrero	052	San Luis Acatlán	46270	23627	16205	26865	3199
12	Guerrero	053	San Marcos	50124	25550	14955	30028	5134
12	Guerrero	054	San Miguel Totolapan	24139	12272	8526	13284	2329
12	Guerrero	055	Taxco de Alarcón	105586	55221	26575	68583	10420
12	Guerrero	056	Tecoanapa	46063	23475	14378	27531	4151
12	Guerrero	057	Técpan de Galeana	65237	32836	17244	40567	7416
12	Guerrero	058	Teloloapan	53817	28132	16320	31305	6188
12	Guerrero	059	Tepecoacuilco de Trujano	30806	15966	8467	18367	3971
12	Guerrero	060	Tetipac	13552	6954	4035	8153	1364
12	Guerrero	061	Tixtla de Guerrero	43171	22564	12017	27179	3932
12	Guerrero	062	Tlacoachistlahuaca	22781	12170	8647	12478	1656
12	Guerrero	063	Tlacoapa	10092	5359	3524	5770	798
12	Guerrero	064	Tlalchapa	11681	5861	3240	6696	1745
12	Guerrero	065	Tlalixtaquilla de Maldonado	7602	3902	2454	4287	825
12	Guerrero	066	Tlapa de Comonfort	96125	51104	33018	57427	5622
12	Guerrero	067	Tlapehuala	22209	11334	6494	13293	2415
12	Guerrero	068	La Unión de Isidoro Montes de Oca	26349	12988	7284	16119	2946
12	Guerrero	069	Xalpatláhuac	11966	6545	4478	6275	1213
12	Guerrero	070	Xochihuehuetlán	7862	4122	2184	4632	1046
12	Guerrero	071	Xochistlahuaca	29891	15631	9494	18157	2145
12	Guerrero	072	Zapotitlán Tablas	12004	6175	4445	6806	750
12	Guerrero	073	Zirándaro	18031	8952	5054	9895	2083
12	Guerrero	074	Zitlala	21977	11926	7524	12239	2160
12	Guerrero	075	Eduardo Neri	53126	27401	16241	32799	4083
12	Guerrero	076	Acatepec	40197	20657	16399	21998	1800
12	Guerrero	077	Marquelia	14280	7253	4301	8644	1335
12	Guerrero	078	Cochoapa el Grande	21241	11312	9842	9832	1567
12	Guerrero	079	José Joaquín de Herrera	18381	9590	7169	10231	981
12	Guerrero	080	Juchitán	7559	3741	2254	4358	947
12	Guerrero	081	Iliatenco	11679	6113	4048	6746	885
13	Hidalgo	001	Acatlán	22268	11563	6502	13919	1847
13	Hidalgo	002	Acaxochitlán	46065	24348	15410	27668	2981
13	Hidalgo	003	Actopan	61002	31925	15550	40158	5292
13	Hidalgo	004	Agua Blanca de Iturbide	10313	5400	2927	6453	933
13	Hidalgo	005	Ajacuba	18872	9764	4561	12425	1886
13	Hidalgo	006	Alfajayucan	19162	9964	5016	11864	2281
13	Hidalgo	007	Almoloya	12546	6476	3366	8052	1128
13	Hidalgo	008	Apan	46681	24393	11525	30831	4323
13	Hidalgo	009	El Arenal	19836	10261	5241	12955	1639
13	Hidalgo	010	Atitalaquia	31525	16044	7463	21550	2512
13	Hidalgo	011	Atlapexco	19812	10301	5235	11938	2630
13	Hidalgo	012	Atotonilco el Grande	30135	15874	8037	19176	2921
13	Hidalgo	013	Atotonilco de Tula	62470	32056	17287	42090	3048
13	Hidalgo	014	Calnali	16150	8406	4186	9515	2449
13	Hidalgo	015	Cardonal	19431	10123	5129	12314	1988
